NomePES;DescricaoPES;NomeFVS;DescricaoFVS;Nivel;ItemVerificacao;ValidacaoItem;EtapaItem
;;;;;Ensaios realizados;Verificar se foi realizado a coleta da taxa de imprimação, e se o resultado está dentro dos limites previstos no P.O. 7.5.1/04-08.;
;;;;;Considerações finais;Verificar se a camada de imprimação ficou uniforme e cobriu com eficacia a base, garantindo a impermeabilização do solo e boa aderencia da camada de pavimento, verificar se fei colocado uma sinalização no local evitando o transito na area imprimada.;
 8.5.1/ 01-04-09;Pintura de Ligação;8.6.1/ 01-04-09;Pintura de Ligação;Obra;Pré-requisitos e cuidados iniciais;Verificar se o a temperatura e clima estão adequados para realização do serviço conforme previsto no P.O. 7.5.1/04-09. ;
;;;;;Ensaios e controle tecnologico;Verificar se o ligante asfaltico esta diluido adequadamente, se a temperatura deste esta conforme P.O. 7.5.1/04-09, verificar se foram realizados ensaios no recebimento do material, e se está disponivel no local do serviço os equipamentos necessários para realizar  o ensaio de taxa de aplicação do material.;
;;;;;Segurança na execução;Verificar se os trabalhadores estão equipados adequadamente conforme diretrizes de segurança do trabalho, verificar se a execução está sendo executada de forma a não colocar em risco a segurança dos trabalhadores.;
;;;;;Manutenção dos equipamentos e cuidados no descarte ;Verificar se após o serviço foi realizado a manutenção no espargidor, limpando os bicos e evitando o entupimento destes, verificar se quando realizado a limpeza do equipamento não foi descartado ligante asfaltico em area inapropiada, podendo causar danos a natureza.;
;;;;;Considerações finais;Verificar se a pintura de ligação ficou uniforme, sem falhas e empoçamentos de material, verificar se foi colocada uma sinalização na via evitando o transito no local.;
 8.5.1/ 01-04-11;Revestimento Flexível;8.6.1/ 01-04-11;Revestimento Flexível;Obra;Pré requisitos para inicio do serviço; Verificar se foi feita a locção topografica determinado o traçado da via a ser pavimentada.Verificar se a camada de imprimação esta isenta de poeira ou qualquer corpo estranho, Verificar a disponibilidade das ferramentas apropiadas para execução do serviço.;
;;;;;Pavimento flexível;Caso seja utilizado CBUQ, verificar se foi realizado analise de temperatura no recebimento do material, Verificar se foi executada a pintura de ligação (para imprimações com mais de 07 dias de execução) ou conforme P. O. 7.5.1/04-11.;
;;;;;Execução do serviço;Verificar se a espessura da  camada espalhada de mistura asfaltica está conforme projeto, verificar se não está sendo deixado buracos, depressões ou excessos no espalhamento do material.;
;;;;;Execução do serviço;Verificar se após o espalhamento da camada de pavimento, inicio-se a compactação com rolo pneumático e em seguida com rolo liso. Verificar se não foi deixada ondulações durante a compactação do pavimento.Verificar se durante a compactação os trabalhadores envolvidos no processo estão trabalhando com segurança e estão equipados adequadamente. ;
;;;;;Considerações finais;Verificar se as emendas ficaram bem acabadas, se o limite da demarcação da via foi coberto pela capa asfáltica, evitando falhas nas bordas ou desperdicio de material. Verificar se após realização do serviço foi executada uma manutenção dos equipamentos envolvidos.;
 8.5.1/ 01-04-12;Recuperação de Pavimentos;8.6.1/ 01-04-12;Recuperação de Pavimentos;Obra;Base e sub-base (para pavimento flexível e rígido);"Analisar: No caso de reposição de sub-base e base, estas devem ser executadas mediante regularização e compactação do subleito; No caso de reposição de uma porção do pavimento, inicialmente deve-se remover a parte defeituosa do pavimento tornando a área retangular e paralela ao eixo da pista como os bordos da escavação retos e verticais tomando-se os necessários cuidados para evitar danos ao pavimento anexo. Eventuais pontos frágeis resultantes na região de contato da caixa de remoção devem ser removidos por processos manuais; Colocar o material de base ou sub-base para a sua execução; Compactar ou acomodar o material de base em camadas de no máximo 20cm com equipamento apropriado.";
;;;;;Pavimento flexível;"Garantir: Aplicar camada de pintura de ligação ou imprimação no fundo e bordas, conforme POs. Aplicar o revestimento definido em projeto com todas as operações necessárias a sua perfeita execução e em acordo com os procedimentos de execução de pavimentos flexível;";
;;;;;Pavimento Rígido;Verificar que a execução do mesmo seja feita em conformidade com PO, de forma que a estrutura de pavimento de concreto existente seja reposta em sua integralidade, atendendo sempre aos critérios de resistência dos materiais empregados.;
;;;;;Pavimento Paralelepípedo e Blocos Intertravados;Avaliar: O subleito será drenado e bem apiloado, de modo a constituir superfície firme e de resistência uniforme. Nos pontos em que o terreno se apresentar muito mole, será necessário proceder-se a sua remoção e suibstituição por material conveniente. A sub-base será formada por uma camada de areia com três a cinco cm de espessura. As juntas dos paralelepípedos e blokret poderão ser com pedrisco e alcatrão ou em argamassa no traço 1:3.;
;;;;;Considerações finais;Verificar se foi removido as sobra de materiais do local recuperado, ao fim dos serviços, deve ser assegurada a drenagem superficial do remendo ou do novo pavimento reposto, compatibilizando a declividade transversal com o antigo pavimento, e executando, caso necessário, meios fios, sarjetas laterais,etc.;
 8.5.1/ 01-04-13;Drenagem superficial (sarjeta e meio fio);8.6.1/ 01-04-13;Drenagem superficial (sarjeta e meio fio);Obra;Pré-requisitos e cuidados iniciais;Verificar se o serviço está sendo executado conforme projeto, as dimenções, tipologia estão corretas.;
;;;;;Meio fio e sarjeta;Quando o meio fio e  sarjeta forem relisados antes da camada de base, verificar se foi realizada uma marcação topografica indicando o alinhamento deste e os pontos de curvatura.;
;;;;;Execução do serviço e ensaios;Verificar se o concreto utilizado está apropriado para o serviço, conforme P.O. , verificar se foi moldado corpo de prova para comprovação da resistencia do concreto.;
;;;;;Execução do serviço ;Verificar se foi colocada uma linha para que a estusora seja direcionada e garantindo assim o alinhamento, verificar se a equipe está suficiente para executar o serviço. Caso seja executado meio fio premoldado verificar se as dimenções estão conforme projeto e estão nos alinhamentos locados pela topografia. ;
;;;;;Considerações finais;Verificar o acabamento final da sarjeta está aceitavel, se foram deixadas as juntas de dilatação a cada 2,0 metros, caso haja garagem definida verificar se foram realizadas os devidos rebaixamentos, tanto de garagens quanto de acessos a cadeirantes nas esquinas, conforme projeto;
 8.5.1/ 01-04-13.1;Drenagem superficial ( Boca de lobo); 8.5.1/ 01-04-13.1;Drenagem superficial ( Boca de lobo);Obra;Pré-requisitos e cuidados iniciais;Verificar se o serviço está sendo executado conforme projeto, as dimenções, tipologia e localização, verificar se as bocas de lobo estão nos pontos mais baixos facilitando o escoamento das enxurradas.;
;;;;;Caixas de alvenaria;Quando as bocas  de lobo forem realizadas com alvenaria de tijolo maciço ou Bloco de concreto, verificar se está sendo executada nas dimensões corretas, verificar se as fiadas estão sendo amarradas( intercalada as juntas), verificar se o revestimento esta na espessura de no mínimo 2cm.;
;;;;;Caixas de concreto;Quando as bocas de lobo forem realizadas com forma e concreto, verificar se as dimenções das formas estão conforme projetos, verificar a espessura do concreto está correta, verificar se a forma está bem travada evitando assim a deformação do concreto.;
;;;;;Execução do serviço ;Verificar se foi encaixado corretamente a caixa na tubulação de saida, se as paredes estão isentas de buracos e brocas, verificar se o fundo apresenta um pequeno inclinação no sentido da saida. ;
;;;;;Considerações finais;Verificar se as grelhas de concreto ou ferro fundido estão bem apoiadas, se foi deixada um rebaixamento em relação ao pavimento, contribuindo assim com o melhor escoamento das enxurradas. Verificar se foram removidos do local os restos de material escavados após término dos serviços.;
 8.5.1/ 01-04-18;Execução de caixas e Poços de Visita;8.6.1/ 01-04-18;Execução de caixas e Poços de Visita;Obra;Pré-requisitos e cuidados iniciais;Verificar se o serviço está sendo executado conforme projeto, as dimenções, tipologia e localização, verificar se astubulações estão lançadas no local e possibilitem a execução da caixa.;
;;;;;Caixas de alvenaria;Quando as caixas forem realizadas com alvenaria de tijolo maciço ou Bloco de concreto, verificar se está sendo executada nas dimensões corretas, verificar se as fiadas estão sendo amarradas( intercalada as juntas), verificar se o revestimento esta na espessura de no mínimo 2cm.;
;;;;;Caixas de concreto;Quando as caixas forem realizadas em concreto, verificar se as dimenções das formas estão conforme projetos, verificar a espessura do concreto está correta, verificar se a forma está bem travada evitando assim a deformação do concreto.;
;;;;;Execução do serviço ;Verificar se foi encaixado corretamente a caixa na tubulação de saida, se as paredes estão isentas de buracos e brocas, verificar se o fundo apresenta um pequeno inclinação no sentido da saida. ;
;;;;;Considerações finais;Verificar se os tampões de concreto ou ferro fundido estão bem apoiados, no caso de vias pavimentadas verificar se está no nível do pavimento,  Verificar se foram removidos do local os restos de material escavado, após término dos serviços.;
