NomePES;DescricaoPES;NomeFVS;DescricaoFVS;Nivel;ItemVerificacao;ValidacaoItem;EtapaItem
8.5.1/01-02-11;Reposição de Pavimentação;8.6.1/ 01-02-11;Reposição de Pavimentação;Obra;Base e sub-base (para pavimento flexível e rígido);"Analisar: No caso de reposição de sub-base e base, estas devem ser executadas mediante regularização e compactação do subleito; No caso de reposição de uma porção do pavimento, inicialmente deve-se remover a parte defeituosa do pavimento tornando a área retangular e paralela ao eixo da pista como os bordos da escavação retos e verticais tomando-se os necessários cuidados para evitar danos ao pavimento anexo. Eventuais pontos frágeis resultantes na região de contato da caixa de remoção devem ser removidos por processos manuais; Colocar o material de base ou sub-base para a sua execução; Compactar ou acomodar o material de base em camadas de no máximo 20cm com equipamento apropriado.";
;;;;;Pavimento flexível;"Garantir: Aplicar camada de pintura de ligação ou imprimação no fundo e bordas, conforme POs. Aplicar o revestimento definido em projeto com todas as operações necessárias a sua perfeita execução e em acordo com os procedimentos de execução de pavimentos flexível;";
;;;;;Pavimento Rígido;Verificar que a execução do mesmo seja feita em conformidade com PO, de forma que a estrutura de pavimento de concreto existente seja reposta em sua integralidade, atendendo sempre aos critérios de resistência dos materiais empregados.;
;;;;;Pavimento Paralelepípedo e Blocos Intertravados;Avaliar: O subleito será drenado e bem apiloado, de modo a constituir superfície firme e de resistência uniforme. Nos pontos em que o terreno se apresentar muito mole, será necessário proceder-se a sua remoção e suibstituição por material conveniente. A sub-base será formada por uma camada de areia com três a cinco cm de espessura. As juntas dos paralelepípedos e blokret poderão ser com pedrisco e alcatrão ou em argamassa no traço 1:3.;
;;;;;Considerações finais;Verificar se foi removido as sobra de materiais do local recuperado, ao fim dos serviços, deve ser assegurada a drenagem superficial do remendo ou do novo pavimento reposto, compatibilizando a declividade transversal com o antigo pavimento, e executando, caso necessário, meios fios, sarjetas laterais,etc.;
8.5.1/01-02-12;Ligações Prediais: Água potável;8.6.1/ 01-02-12;Ligações Prediais: Água potável;Bloco;Pré-requisitos e cuidados iniciais;"Garantir que: *Os serviços deverão ser executados sem interrupção até liberação da área; *Verificar se os materiais estão conforme especificações de projeto e em boas condições; * As vias de acesso fechadas ao transito deverão ser protegidas com barreiras e com a devida sinalização e indicação de desvio, devendo durante a noite, ser iluminadas. Em casos especiais, deverão ser postados vigias ou sinaleiros, devidamente equipados;";
;;;;;Remoção das pavimentações , confecção das muretas e cavaletes ;Garantir que seja feita a remoção das pavimentações ou demolições, quando a ligação for feita na calçada deverá ser demolida a área do piso estritamente necessária. Observar que sejam montadas as muretas e os cavaletes conforme indicações da concessionária local.;
;;;;;Escavação e posicionamento dos cavaletes e muretas;Verificar se a escavação está sendo executado no local correto conforme projeto, a largura da vala correspondente a ligação deverá ser tão reduzida quanto possível, visando restringir a ação de cargas acidentais à tubulação, não devendo exceder 0,40m. As muretas devem ser assentadas no alinhamento da testada do lote e os cavaletes nas muretas, conforme indicações da concessionária local.;
;;;;;Ligação entre o cavalete e a rede pública;"Certificar que o lançamento do tubo de ligação no interior da vala está sendo executado de forma a não esticá-lo, evitando tração nos encaixes dos adaptadores; As tubulações não deverão passar por dentro de fossas, valas, águas residuais ou servidas e caixas de inspeção; Os colares de tomada, adaptadores e materiais em geral utilizados deverão estar em conformidade com as indicações da concessionária, em boas condições para uso e serem certificados.";
;;;;;Reaterro e recomposição das pavimentações ou superfícies ;Verificar se Antes do reaterro, foi executado o teste na ligação e da tomada de água observando a inexistencia de vasamentos. A cobertura do aterro sobre a geratriz superior do tubo de ligação não deverá ser inferior a 0,50m sob via pavimentada sujeita a tráfego,O reaterro deverá ser feito em camadas de 0,20m, apiloadas manualmente, com material fino, isento de pedras e outros agentes que possam agredir o tubo, de forma a resgatar aproximadamente a densidade original do solo. Pavimentações ou superfícies removidas deverão ser recompostas com materiais o mais similares possíveis aos originais.;
8.5.1/01-02-13;Ligações Prediais: Esgoto;8.6.1/ 01-02-13;Ligações Prediais: Esgoto;Bloco;Pré-requisitos e cuidados iniciais;"Verificar se os serviços forão  executados sem interrupção até liberação da área; Verificar se os materiais estão conforme especificações de projeto e em boas condições;  As vias de acesso fechadas ao transito deverão ser protegidas com barreiras e com a devida sinalização e indicação de desvio, devendo durante a noite, ser iluminadas. Em casos especiais, deverão ser postados vigias ou sinaleiros, devidamente equipados;";
;;;;;Remoção das pavimentações e dimensão da tubulação;"Verificar se houve a remoção das pavimentações ou demolições; Quando o ramal é feito após execução da pavimentação, a mesma deve ser recortada, de forma a comportar a vala para ligação do ramal, sendo que a mesma deve ser de no máximo 50cm; O ramal predial deverá ser executado com tubos de diâmetro nominal mínimo de 100 mm e declividade mínima de 2% e deverá ser assentado sobre vala regularizada;";
;;;;;Selim, furação;Verificar se os selins foram posicionados perpendicularmente em relação ao coletor e verticalmente em relação ao solo, podendo ser de encaixe ou abraçamento. Deve ser feita a furação para transferência da tubulação predial para o coletor de esgoto. Os selins devem ser montados conforme indicações do fabricante ou projeto de esgotamento sanitário. A conexão do selim ao coletor será feita através de combinação de uma ou mais curvas.;
;;;;;Ligação entre o esgoto predial e a rede pública;"Verificar se o tubo de ligação no interior da vala está sendo executado ligando a fossa séptica ou caixa de passagem até a rede pública. As tubulações, preferencialmente, não devem enfrentar interferências de valas, águas residuais ou servidas e caixas de inspeção; A tubulação deve apresentar alinhamento, nivelamento e estanqueidade;  É sugerido que sejam testados os ramais antes do reaterro.";
;;;;;Reaterro e recomposição das pavimentações ou superfícies ;Conferir se a tubulação está devidamente apoiada no fundo da vala por completo, deverá ser iniciado o reaterro calçando a tubulação em pontos distintos com a finalidade de mante-la na posição durante o reaterro.  A camada de 30 cm imediatamente acima do coletor deve ser levemente apiloada, manualmente. O reaterro e adensamento acima de 0,50 m da geratriz superior da tubulação podem ser executados por processos mecânicos. O restante da vala, até atingir o nível da base do pavimento ou então o leito da rua ou do logradouro, se em terra, deve ser aterrado com material de boa qualidade em camadas de 20 cm de espessura, compactadas mecanicamente. Pavimentações ou superfícies removidas deverão ser recompostas com materiais o mais similares possíveis aos originais.;
8.5.1/01-02-14;Ligações Prediais: Água Pluvial;8.6.1/ 01-02-14;Ligações Prediais: Água Pluvial;Bloco;Cuidados iniciais;"Consiste na montagem do conjunto composto por tubos, peças, conexões e caixas, para ligação da saída de águas pluviais do imóvel para a rede coletora; Para que isso seja realizado, deve-se apenas conferir a execução  no procedimeto operacional.";
;;;;;Condutores prediais;Verificar se o dispositivo de coleta está destinado apenas à água pluvial é recolhida no imóvel, por meio de calhas, condutores verticais, etc, estes elementos devem estar executados em conformidade com projeto e em boas condições para utilização.;
;;;;;Transferência dos condutores prediais para condutore públicos;"Verificar se o dispositivo está coletando as águas pluviais, dos condutores prediais verticais, para condutores horizontais, valetas e similares; As águas pluviais foram lançadas em caixas de areia e então para sarjeta ou então diretamente nas sarjetas e sarjetões, onde a água escoará superficialmente até ser direcionada a uma boca de lobo;
";
;;;;;Denivel e escoamento;Verificar se os desniveis foram deixados de forma a atender o escoamento pluvial, de forma a não permitir o empoçamento  e alagamento próximo as moradia.;
;;;;;Verificações finais;Os ramais de água pluvial devem atender requisitos de conforto e de segurança sanitária, ambos relacionados ao esgotamento rápido da água da chuva do ambiente da edificação e das pistas, de maneira a evitar empoçamentos, refluxos e erosões.;
